House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Morgan Avenue,Graeme,Webb,20,Head,Single,Male,University Student,None,Catholic
1,Morgan Avenue,Bethany,Johnson,19,Partner,Single,Female,Counsellor,None,Catholic
2,Morgan Avenue,Frank,Davies,75,Head,Widowed,Male,Retired Air traffic controller,None,Christian
3,Morgan Avenue,Denise,Sharp,59,Head,Married,Female,Television/film/video producer,None,Christian
3,Morgan Avenue,Jason,Sharp,57,Husband,Married,Male,Air traffic controller,None,Christian
4,Morgan Avenue,Kate,Green,42,Head,Single,Female,Insurance account manager,None,None
5,Morgan Avenue,Simon,Barnes,75,Head,Widowed,Male,Retired Ophthalmologist,None,Catholic
6,Morgan Avenue,Jay,Martin,61,Head,Single,Male,Immunologist,None,Christian
7,Morgan Avenue,Daniel,Patel,67,Head,Married,Male,"Lecturer, higher education",None,Muslim
7,Morgan Avenue,Rosie,Patel,66,Wife,Married,Female,Health promotion specialist,None,Muslim
8,Morgan Avenue,Marc,Brown,76,Head,Married,M,Retired Best boy,None,Christian
8,Morgan Avenue,Christine,Brown,77,Wife,Married,Female,Retired Chemical engineer,None,None
9,Morgan Avenue,Helen,Gilbert,50,Head,Single,Female,"Copywriter, advertising",None,Christian
9,Morgan Avenue,Lynne,Gilbert,26,Daughter,Single,Female,Charity officer,None,Christian
10,Morgan Avenue,Russell,Lyons,27,Head,Divorced,Male,Early years teacher,None,Muslim
11,Morgan Avenue,Harriet,Graham,55,Head,Single,Female,Exhibition designer,None,None
11,Morgan Avenue,Jeffrey,Green,53,Partner,Single,Male,"Sound technician, broadcasting/film/video",None,None
12,Morgan Avenue,Brian,Miles,28,Head,Single,Male,Energy manager,None,Muslim
12,Morgan Avenue,Sylvia,Clarke,29,Partner,Single,Female,"Pilot, airline",None,None
12,Morgan Avenue,Gareth,Miles,11,Son,NA,Male,Student,None,NA
13,Morgan Avenue,Ruth,Field,22,Head,Single,Female,University Student,None,None
14,Morgan Avenue,Katy,Barker,44,Head,Single,Female,Merchant navy officer,None,None
15,Morgan Avenue,Liam,Singh,30,Head,Single,Male,Restaurant manager,None,Christian
16,Morgan Avenue,Alexandra,Clarke,64,Head,Married,Female,"Designer, multimedia",None,Christian
16,Morgan Avenue,Jason,Clarke,68,Husband,Married,Male,Retired Contracting civil engineer,None,None
16,Morgan Avenue,Laura,Clarke,38,Daughter,Single,Female,"Surveyor, quantity",None,Christian
17,Morgan Avenue,Mohamed,Cameron,34,Head,Single,Male,"Designer, ceramics/pottery",None,None
17,Morgan Avenue,Irene,Murphy,32,Partner,Single,Female,Actor,None,None
18,Morgan Avenue,Abigail,Davis,37,Head,Single,Female,Dentist,None,None
18,Morgan Avenue,Adrian,Davis,13,Son,NA,Male,Student,None,NA
19,Morgan Avenue,Anna,Russell,69,Head,Widowed,Female,"Retired Therapist, horticultural",None,None
20,Morgan Avenue,Samantha,Price,81,Head,Widowed,Female,Retired Tax inspector,None,None
21,Morgan Avenue,Dennis,Richardson,47,Head,Divorced,Male,Advertising account planner,None,None
22,Morgan Avenue,Oliver,Potter,44,Head,Single,Male,Electronics engineer,None,Catholic
23,Morgan Avenue,Robin,Edwards,60,Head,Married,Male,Fast food restaurant manager,None,Catholic
23,Morgan Avenue,Sarah,Edwards,56,Wife,Married,Female,Engineering geologist,None,None
24,Morgan Avenue,Geraldine,Lyons,72,Head,Widowed,Female,Retired Government social research officer,None,Christian
25,Morgan Avenue,Dawn,Heath,59,Head,Single,Female,Unemployed,None,Christian
25,Morgan Avenue,Daniel,Heath,31,Son,Single,Male,"Therapist, drama",None,Christian
26,Morgan Avenue,Annette,Wong,54,Head,Single,Female,Solicitor,None,Christian
27,Morgan Avenue,Alison,Wood,83,Head,Divorced,Female,Retired Airline pilot,None,None
28,Morgan Avenue,Kirsty,Ferguson,19,Head,Single,Female,University Student,None,None
29,Morgan Avenue,Tom,Hughes,41,Head,Married,Male,Hydrologist,None,Catholic
29,Morgan Avenue,Jenna,Hughes,39,Wife,Married,Female,Herbalist,None,None
30,Morgan Avenue,Kirsty,Tucker,33,Head,Married,Female,Retail buyer,None,None
30,Morgan Avenue,Martin,Tucker,33,Husband,Married,Male,Computer games developer,None,None
30,Morgan Avenue,Denise,Tucker,4,Daughter,NA,Female,Child,None,NA
31,Morgan Avenue,Jennifer,Todd,48,Head,Single,Female,Unemployed,None,Christian
32,Morgan Avenue,Jake,Fisher,75,Head,Widowed,Male,"Retired Engineer, site",None,Methodist
33,Morgan Avenue,Derek,Dawson,56,Head,Divorced,Male,Recycling officer,None,None
34,Morgan Avenue,Joshua,Owens,31,Head,Married,Male,"Therapist, sports",None,Catholic
34,Morgan Avenue,Irene,Owens,28,Wife,Married,Female,"Buyer, industrial",None,Catholic
35,Morgan Avenue,Kayleigh,Grant,60,Head,Married,Female,Automotive engineer,None,Catholic
35,Morgan Avenue,Terence,Grant,62,Husband,Married,Male,IT trainer,None,Catholic
35,Morgan Avenue,Jade,Grant,43,Daughter,Single,Female,Museum/gallery conservator,None,Catholic
36,Morgan Avenue,,Jade Alexander,32,Head,Divorced,Female,Educational psychologist,None,Muslim
37,Morgan Avenue,Vincent,Marsh,70,Head,Divorced,Male,Retired Environmental consultant,None,Methodist
38,Morgan Avenue,Nathan,Adams,55,Head,Single,Male,Adult nurse,None,Catholic
39,Morgan Avenue,Vanessa,Blackburn,46,Head,Married,Female,Gaffer,None,None
39,Morgan Avenue,Eric,Blackburn,54,Husband,Married,Male,Statistician,None,None
39,Morgan Avenue,Clive,Blackburn,16,Son,NA,Male,Student,None,NA
40,Morgan Avenue,Janet,Knight,26,Head,Divorced,Female,"Psychologist, occupational",None,Muslim
41,Morgan Avenue,Paula,Young,19,Head,Single,Female,University Student,None,None
42,Morgan Avenue,Patricia,Thomas,43,Head,Married,Female,Plant breeder/geneticist,None,Methodist
42,Morgan Avenue,Philip,Thomas,46,Husband,Married,Male,Data processing manager,None,Methodist
43,Morgan Avenue,Tina,Carter,85,Head,Widowed,Female,Retired General practice doctor,None,Christian
44,Morgan Avenue,Tom,Freeman,84,Head,Divorced,Male,Retired Armed forces operational officer,None,None
45,Morgan Avenue,Diane,Jones,65,Head,Widowed,Female,Building surveyor,None,Christian
46,Morgan Avenue,Beth,Joyce,29,Head,Single,Female,Software engineer,None,Catholic
47,Morgan Avenue,Georgia,Hudson,75,Head,Widowed,Female,Retired Medical technical officer,None,Christian
48,Morgan Avenue,Maria,Hyde,54,Head,Single,Female,Holiday representative,None,Methodist
49,Morgan Avenue,Hazel,Rogers,72,Head,Widowed,Female,Retired Applications developer,None,Christian
50,Morgan Avenue,Jennifer,Kirk,64,Head,Single,Female,Structural engineer,None,Catholic
51,Morgan Avenue,Natalie,Pearson,50,Head,Single,Female,Unemployed,None,Catholic
51,Morgan Avenue,Duncan,Pearson,15,Son,NA,Male,Student,None,NA
52,Morgan Avenue,Shirley,Day,65,Head,Widowed,Female,Database administrator,None,Catholic
53,Morgan Avenue,Jake,Wall,21,Head,Single,Male,University Student,None,Methodist
53,Morgan Avenue,Suzanne,Burton,30,None,Single,Female,"Solicitor, Scotland",None,Catholic
53,Morgan Avenue,Clifford,Shepherd,56,None,Single,Male,Retail banker,None,Christian
53,Morgan Avenue,Darren,Wood,40,None,Divorced,Male,Data scientist,None,Christian
54,Morgan Avenue,Robin,Dennis,55,Head,Married,Male,Trade mark attorney,None,None
54,Morgan Avenue,Jayne,Dennis,53,Wife,Married,Female,Ranger/warden,None,None
54,Morgan Avenue,Frank,Dennis,14,Son,NA,Male,Student,None,NA
54,Morgan Avenue,Joanne,Dennis,12,Daughter,NA,Female,Student,None,NA
55,Morgan Avenue,Heather,Williamson-Hill,62,Head,Divorced,Female,Logistics and distribution manager,None,Catholic
55,Morgan Avenue,Carly,Payne-Williamson-Hill,29,Daughter,Divorced,Female,Orthoptist,None,Catholic
55,Morgan Avenue,Jenna,Middleton,23,Daughter,Single,Female,Armed forces training and education officer,None,Catholic
56,Morgan Avenue,Raymond,Hodgson,74,Head,Widowed,Male,"Retired Psychologist, prison and probation services",None,None
1,Pillar Road,Maria,Rowe,20,Head,Single,Female,"Doctor, general practice",None,Christian
2,Pillar Road,Trevor,Harris,67,Head,Divorced,Male,Soil scientist,None,Methodist
3,Pillar Road,Clare,Booth,33,Head,Single,Female,"Surveyor, hydrographic",None,Christian
3,Pillar Road,Gerald,Booth,7,Son,NA,Male,Student,None,NA
3,Pillar Road,Bethany,Booth,5,Daughter,NA,F,Student,None,NA
4,Pillar Road,Gail,Butler,51,Head,Single,Female,"Psychologist, educational",None,Christian
5,Pillar Road,Antony,Richardson,65,Head,Widowed,Male,"Doctor, hospital",None,Christian
6,Pillar Road,Scott,Scott,92,Head,Divorced,Male,"Retired Journalist, magazine",None,Catholic
7,Pillar Road,Nicholas,Morrison,37,Head,Single,Male,Unemployed,None,Christian
7,Pillar Road,Max,Morrison,6,Son,NA,Male,Student,None,NA
8,Pillar Road,Lawrence,Nash,42,Head,Single,Male,Unemployed,None,None
9,Pillar Road,Georgina,West,54,Head,Divorced,Female,Training and development officer,None,None
10,Pillar Road,Andrea,Simpson,45,Head,Single,Female,Corporate investment banker,None,Catholic
10,Pillar Road,Lorraine,Harrison-Simpson,7,Neice,NA,Female,Student,None,NA
1,Wharf Place,Gerald,Anderson,25,Head,Single,Male,Retail manager,None,Christian
1,Wharf Place,Kenneth,Morgan,24,None,Single,Male,"Geologist, wellsite",None,Christian
1,Wharf Place,Glen,Jackson,63,None,Single,Male,Meteorologist,None,None
1,Wharf Place,George,Lane,18,None,Widowed,Male,Student,None,NA
1,Wharf Place,Janice,Smith,21,None,Single,Female,University Student,None,Muslim
2,Wharf Place,Jemma,Burns,55,Head,Married,Female,Industrial buyer,None,Christian
2,Wharf Place,Abigail,Burns,56,Wife,Married,Female,Unemployed,None,Christian
2,Wharf Place,Mary,Burns,22,Daughter,Divorced,Female,University Student,None,Christian
3,Wharf Place,Katie,Morris,38,Head,Divorced,Female,Unemployed,None,Catholic
3,Wharf Place,Laura,Morris,6,Daughter,NA,Female,Student,None,NA
4,Wharf Place,Valerie,Smith,30,Head,Single,Female,Armed forces technical officer,None,Catholic
4,Wharf Place,Lucy,Edwards,62,None,Single,Female,Chief Financial Officer,None,None
4,Wharf Place,Josh,Hyde,45,None,Single,Male,Licensed conveyancer,None,Christian
4,Wharf Place,Keith,Duffy,36,None,Single,Male,Television floor manager,None,Christian
5,Wharf Place,Samantha,Barber,32,Head,Single,Female,PhD Student,None,None
5,Wharf Place,Robin,Doherty,20,None,Single,Male,University Student,None,Christian
5,Wharf Place,Lesley,Carr,19,None,Single,Female,University Student,None,Christian
5,Wharf Place,Luke,Whittaker,18,None,Single,Male,University Student,None,Catholic
5,Wharf Place,Maria,Clark,27,None,Single,Female,PhD Student,None,Christian
6,Wharf Place,Annette,Parker,74,Head,Married,Female,Retired Mining engineer,None,Christian
6,Wharf Place,Allan,Burns,76,Husband,Married,M,"Retired Doctor, general practice",None,Christian
7,Wharf Place,Gavin,Humphreys,50,Head,Married,Male,"Engineer, drilling",None,Catholic
7,Wharf Place,Melanie,Humphreys,46,Wife,Married,Female,Press photographer,None,Catholic
8,Wharf Place,Tony,Watkins,62,Head,Married,Male,Quarry manager,None,None
8,Wharf Place,Melissa,Watkins,59,Wife,Married,Female,"Physicist, medical",None,None
9,Wharf Place,Roger,Francis,50,Head,Married,Male,Police officer,None,Christian
9,Wharf Place,Lauren,Francis,44,Wife,Married,Female,Learning mentor,None,Christian
9,Wharf Place,Clare,Francis,15,Daughter,NA,Female,Student,None,NA
10,Wharf Place,Margaret,Barber,53,Head,Single,Female,Psychotherapist,None,Christian
10,Wharf Place,Amber,Hayes,44,None,Di-vorced,Female,Ship broker,None,Christian
11,Wharf Place,Henry,Woods,81,Head,Married,Male,Retired Operational investment banker,None,Christian
11,Wharf Place,Louise,Woods,85,Wife,Married,Female,Retired Warehouse manager,None,None
12,Wharf Place,Rachel,Murphy,24,Head,Divorced,Female,Podiatrist,None,None
13,Wharf Place,Hollie,Russell,72,Head,Single,Female,Retired Further education lecturer,None,None
14,Wharf Place,Catherine,Hill,65,Head,Widowed,Female,Patent examiner,None,Methodist
15,Wharf Place,Ashleigh,Butcher,41,Head,Married,Female,"Civil engineer, contracting",None,Methodist
15,Wharf Place,Richard,Butcher,43,Husband,Married,Male,Hotel manager,None,Methodist
15,Wharf Place,Sheila,Butcher,4,Daughter,NA,Female,Child,None,NA
15,Wharf Place,Kenneth,Edwards,50,Lodger,Single,Male,Structural engineer,None,None
16,Wharf Place,Damian,Wheeler,45,Head,Single,Male,Unemployed,None,None
16,Wharf Place,Jane,Davies,43,Partner,Single,Female,Tax adviser,None,None
17,Wharf Place,Julie,Chapman,63,Head,Single,Female,Legal secretary,None,Christian
18,Wharf Place,Helen,Simpson,33,Head,Married,Female,Radio broadcast assistant,None,None
18,Wharf Place,Douglas,Simpson,33,Husband,Married,Male,Interpreter,None,None
18,Wharf Place,Trevor,Simpson,4,Son,NA,Male,Child,None,NA
18,Wharf Place,Hazel,Howell,40,Lodger,Single,Female,Claims inspector/assessor,None,None
19,Wharf Place,Carly,Kelly-Griffin,55.55,Head,Married,Female,Microbiologist,None,None
19,Wharf Place,Joel,Bevan,56,Husband,Married,Male,Youth worker,None,None
19,Wharf Place,Alan,Kelly-Griffin,17,Son,NA,Male,Student,None,NA
19,Wharf Place,Leah,Kelly-Griffin,14,Daughter,NA,Female,Student,None,NA
19,Wharf Place,Peter,Kelly-Griffin,9,Son,NA,Male,Student,None,NA
20,Wharf Place,Scott,Fletcher,42,Head,Divorced,Male,Chiropractor,None,Catholic
21,Wharf Place,Kimberley,Roberts,68,Head,Married,Female,"Retired Pilot, airline",None,None
21,Wharf Place,Frederick,Roberts,71,Husband,Married,Male,Retired Child psychotherapist,Mental Disability,None
22,Wharf Place,Leon,Richards,40,Head,Single,Male,Printmaker,None,Catholic
22,Wharf Place,Jane,Cox,53,None,Single,Female,"Therapist, horticultural",None,Catholic
22,Wharf Place,Ann,Davies,56,None,Single,Female,Newspaper journalist,None,Christian
22,Wharf Place,Derek,Metcalfe,30,None,Single,Male,Product manager,None,None
22,Wharf Place,Stewart,Morgan,29,None,Single,Male,"Administrator, Civil Service",None,Jewish
22,Wharf Place,Samuel,Begum,59,None,Single,Male,Financial controller,None,None
23,Wharf Place,Leanne,Harvey,72,Head,Married,Female,Retired Environmental manager,None,Methodist
23,Wharf Place,Clive,Harvey,74,Husband,Married,Male,Retired Curator,None,Methodist
23,Wharf Place,Amelia,Harvey,40,Daughter,Divorced,Female,Regulatory affairs officer,None,None
23,Wharf Place,Ben,Harvey,39,Son,Single,Male,"Surveyor, rural practice",None,None
24,Wharf Place,Geraldine,Williams,71,Head,Divorced,Female,Retired Museum education officer,None,Christian
25,Wharf Place,Denise,White,32,Head,Married,Female,Geophysicist/field seismologist,None,None
25,Wharf Place,Derek,White,32,Husband,Married,Male,Banker,None,None
25,Wharf Place,Janet,White,7,Daughter,NA,Female,Student,None,NA
25,Wharf Place,Heather,White,6,Daughter,NA,Female,Student,None,NA
25,Wharf Place,Malcolm,White,2,Son,NA,Male,Child,None,NA
26,Wharf Place,Janet,Gregory,66,Head,Widowed,Female,Podiatrist,None,Christian
26,Wharf Place,Roger,Gregory,39,Son,Divorced,Male,Archaeologist,None,Christian
27,Wharf Place,Gillian,Fox,29,Head,Divorced,Female,Commissioning editor,None,Methodist
27,Wharf Place,Beth,Fox,Four,Daughter,NA,Female,Child,None,NA
27,Wharf Place,Rebecca,Fox,3,Daughter,NA,Female,Child,None,NA
28,Wharf Place,Wayne,Clark,41,Head,Single,Male,Freight forwarder,None,None
29,Wharf Place,Ricky,Thompson,83,Head,Widowed,Male,Retired Furniture conservator/restorer,None,Christian
30,Wharf Place,Louise,Smith,61,Head,Married,Female,Engineering geologist,None,Christian
30,Wharf Place,Denis,Smith,63,Husband,Married,Male,Leisure centre manager,None,None
30,Wharf Place,Jay,Smith,15,Son,NA,Male,Student,None,NA
30,Wharf Place,Kimberley,Smith,14,Daughter,NA,F,Student,None,NA
30,Wharf Place,Abbie,Smith,13,Daughter,NA,Female,Student,None,NA
31,Wharf Place,Emily,Tucker,43,Head,Married,Female,Facilities manager,None,None
31,Wharf Place,Hugh,Tucker,49,Husband,Married,Male,"Surveyor, building control",None,None
31,Wharf Place,Brett,Tucker,16,Son,NA,Male,Student,None,NA
31,Wharf Place,Charles,Richards-Tucker,14,Son,NA,Male,Student,None,NA
31,Wharf Place,Trevor,Richards-Tucker,10,Son,NA,Male,Student,None,NA
31,Wharf Place,Maurice,Richards-Tucker,7,Son,NA,Male,Student,None,NA
32,Wharf Place,Diana,Evans,76,Head,Widowed,Female,Retired Brewing technologist,None,None
32,Wharf Place,Jennifer,Gibson,0,Granddaughter,NA,Female,Child,None,NA
33,Wharf Place,Donna,Ward,36,Head,Married,Female,"Engineer, land",None,Christian
33,Wharf Place,Nathan,Ward,38,Husband,Married,Male,"Administrator, Civil Service",None,None
33,Wharf Place,Joanna,Ward,9,Daughter,NA,Female,Student,None,NA
33,Wharf Place,Joanna,Ward,5,Daughter,NA,Female,Student,None,NA
33,Wharf Place,Ruth,Ward,3,Daughter,NA,Female,Child,None,NA
34,Wharf Place,Steven,Ward,21,Head,Single,Male,University Student,None,Christian
35,Wharf Place,Iain,Carter,62,Head,Married,M,Clinical research associate,None,Christian
35,Wharf Place,Ellie,Carter,57,Wife,Married,Female,Animal nutritionist,None,Christian
36,Wharf Place,Georgia,Phillips,80,Head,Widowed,Female,Retired Statistician,None,Christian
37,Wharf Place,Michelle,Jackson,18,Head,Single,Female,Student,None,NA
38,Wharf Place,Lynn,Morgan,41,Head,Single,Female,Electrical engineer,None,Jedi
39,Wharf Place,Ann,Bishop,66,Head,Married,Female,Tax adviser,None,None
39,Wharf Place,Dominic,Bishop,64,Husband,Married,Male,"Surveyor, commercial/residential",None,None
40,Wharf Place,Olivia,Powell,89,Head,Married,Female,Retired Financial manager,None,None
40,Wharf Place,Leigh,Powell,91,Husband,Married,Male,Retired Media planner,None,None
41,Wharf Place,Molly,Elliott,26,Head,Single,Female,Stage manager,None,None
41,Wharf Place,Donald,Elliott,2,Son,NA,Male,Child,None,NA
42,Wharf Place,Claire,Stevens,35,Head,Married,Female,Housing manager/officer,None,Methodist
42,Wharf Place,Brett,Stevens,39,Husband,Married,Male,"Engineer, control and instrumentation",None,Methodist
43,Wharf Place,Victoria,Parry,29,Head,Married,Female,"Surveyor, quantity",None,None
43,Wharf Place,Victor,Parry,38,Husband,Married,Male,Hospital pharmacist,None,None
44,Wharf Place,Brett,Patterson,49,Head,Married,Male,"Engineer, technical sales",None,Catholic
44,Wharf Place,Christine,Patterson,46,Wife,Married,Female,Armed forces training and education officer,None,None
45,Wharf Place,Katie,Pearson,71,Head,Divorced,Female,"Retired Engineer, communications",None,Christian
45,Wharf Place,Gemma,Pearson,29,Daughter,Divorced,Female,Unemployed,None,None
45,Wharf Place,Shannon,Pearson,29,Daughter,Divorced,Female,Risk manager,None,Christian
45,Wharf Place,Kyle,Pearson,26,Son,Single,Male,Contractor,None,None
46,Wharf Place,Christine,Ward,57,Head,Single,Female,Multimedia programmer,None,Christian
1,Blue Spring,Beth,Williams,41,Head,Married,Female,Forensic psychologist,None,Catholic
1,Blue Spring,Neil,Williams,41,Husband,Married,Male,Multimedia specialist,None,Catholic
1,Blue Spring,Adrian,Williams,17,Son,NA,Male,Student,None,NA
1,Blue Spring,Karl,Williams,15,Son,NA,Male,Student,None,NA
1,Blue Spring,Gemma,Williams,14,Daughter,NA,Female,Student,None,NA
2,Blue Spring,Rachel,Newman,33,Head,Single,Female,Unemployed,None,None
2,Blue Spring,Aaron,Evans,44,Sibling,Single,Male,Passenger transport manager,None,Catholic
2,Blue Spring,Scott,Wilson,60,Visitor,Divorced,Male,"Engineer, energy",None,Christian
2,Blue Spring,Irene,Stephenson,21,Lodger,Single,Female,University Student,None,None
2,Blue Spring,Barbara,Bond,23,Lodger,Single,Female,Unemployed,None,Catholic
2,Blue Spring,Hannah,Morgan,50,Visitor,Widowed,Female,Town planner,None,None
2,Blue Spring,Ruth,Poole,25,Lodger,Single,Female,Naval architect,None,None
2,Blue Spring,Vanessa,Khan,46,Sibling,Single,Female,Historic buildings inspector/conservation officer,None,None
2,Blue Spring,Brett,Williams,34,Sibling,Single,Male,"Engineer, electronics",None,None
2,Blue Spring,Hannah,Dennis,35,Lodger,Single,Female,Unemployed,None,Methodist
2,Blue Spring,Scott,Francis,51,Lodger,Divorced,Male,Theatre stage manager,None,Catholic
3,Blue Spring,Margaret,Kelly,48,Head,Married,Female,Unemployed,None,None
3,Blue Spring,Jason,Kelly,48,Husband,Married,Male,Occupational therapist,None,None
3,Blue Spring,Gail,Kelly,24,Daughter,Single,Female,Scientific laboratory technician,None,None
3,Blue Spring,Aimee,Kelly,22,Daughter,Single,Female,"Nurse, adult",None,None
3,Blue Spring,Carole,Kelly,19,Daughter,Divorced,Female,University Student,None,None
3,Blue Spring,Sarah,Kelly,15,Daughter,NA,Female,Student,None,NA
3,Blue Spring,Mohamed,Kelly,13,Son,NA,Male,Student,None,NA
3,Blue Spring,Sara,Kelly,7,Daughter,NA,Female,Student,None,NA
3,Blue Spring,Ian,Kelly,1.75,Son,NA,Male,Child,None,NA
3,Blue Spring,Hilary,Shah,59,Visitor,Single,Female,Aeronautical engineer,None,Catholic
4,Blue Spring,Diane,Webster,30,Head,Single,Female,Recycling officer,None,Christian
4,Blue Spring,Dean,Johnson,37,Partner,Single,Male,Recycling officer,None,Christian
4,Blue Spring,Sam,Webster,7,Son,NA,Male,Student,None,NA
4,Blue Spring,Lynn,Webster,7,Daughter,NA,Fe-male,Student,None,NA
5,Blue Spring,Rhys,Stevens,22,Head,Single,Male,University Student,Mental Disability,Christian
5,Blue Spring,Stewart,Evans,20,None,Single,Male,University Student,None,Sikh
5,Blue Spring,Ian,Burton,20,None,Single,Male,University Student,None,None
5,Blue Spring,George,Hunt,22,None,Single,Male,University Student,None,Christian
5,Blue Spring,Aimee,Little,31,None,Single,Female,PhD Student,None,None
5,Blue Spring,Stuart,Willis,22,None,Single,MALE,University Student,None,None
5,Blue Spring,Arthur,Phillips,29,None,Single,Male,PhD Student,None,Catholic
5,Blue Spring,Susan,Burns,26,None,Single,Female,PhD Student,None,Christian
5,Blue Spring,Teresa,Palmer,22,None,Single,Female,University Student,None,Christian
5,Blue Spring,Harriet,Moore,22,None,Single,Female,University Student,None,Christian
5,Blue Spring,Marian,Taylor,22,None,Single,Female,University Student,None,None
5,Blue Spring,Aimee,Taylor,20,None,Single,Female,University Student,None,None
5,Blue Spring,Bruce,Taylor,21,None,Single,Male,University Student,None,Christian
5,Blue Spring,Wayne,Taylor,19,None,Single,Male,University Student,None,Catholic
5,Blue Spring,Elliott,Phillips,21,None,Single,Male,University Student,None,None
5,Blue Spring,Bradley,Payne,18,None,Single,Male,University Student,None,Christian
5,Blue Spring,Lindsey,Reynolds,22,None,Single,Female,University Student,None,None
5,Blue Spring,Natasha,White,19,None,Single,Female,University Student,None,Methodist
5,Blue Spring,David,White,18,None,Single,Male,University Student,None,None
5,Blue Spring,Dennis,Fuller,22,None,Single,Male,University Student,None,None
6,Blue Spring,Mathew,Wood,57,Head,Single,Male,Brewing technologist,None,Christian
6,Blue Spring,Pamela,Stevens,55,Partner,Single,Female,"Producer, television/film/video",None,Christian
7,Blue Spring,Marian,Barry,70,Head,Single,Female,Unemployed,None,Methodist
7,Blue Spring,Raymond,Barry,27,Son,Single,Male,Sub,None,Methodist
7,Blue Spring,Mohammad,Barry,27,Son,Single,Male,"Engineer, broadcasting (operations)",None,None
7,Blue Spring,Lorraine,Barry,23,Daughter,Single,Female,Unemployed,None,Methodist
7,Blue Spring,Nicholas,Barry,20,Son,Single,Male,Comptroller,None,Methodist
7,Blue Spring,Mark,Barry,16,Son,NA,Male,Student,None,NA
7,Blue Spring,Brandon,Mills-Barry,12,Son,NA,Male,Student,None,NA
8,Blue Spring,Alice,Allen,46,Head,Divorced,Female,Ceramics designer,None,Christian
8,Blue Spring,Lesley,Allen,21,Daughter,Single,F,"Engineer, drilling",None,Christian
8,Blue Spring,Alan,Allen,17,Son,NA,Male,Student,None,NA
8,Blue Spring,Holly,Allen,14,Daughter,NA,Female,Student,None,NA
8,Blue Spring,Abigail,Allen,12,Daughter,NA,Female,Student,None,NA
9,Blue Spring,Natalie,Johnson,69,Head,Widowed,Female,Retired Maintenance engineer,None,Christian
10,Blue Spring,Hugh,Metcalfe,34,Head,Married,Male,Location manager,None,Catholic
10,Blue Spring,Sheila,Metcalfe,32,Wife,Married,Female,Data scientist,None,Catholic
10,Blue Spring,Sylvia,Metcalfe,3,Daughter,NA,Female,Child,None,NA
10,Blue Spring,Raymond,Metcalfe,3,Son,NA,Male,Child,None,NA
10,Blue Spring,Stewart,Metcalfe,3,Son,NA,Male,Child,None,NA
11,Blue Spring,Danielle,Howarth,38,Head,Married,Female,Clinical cytogeneticist,None,Catholic
11,Blue Spring,Denis,Howarth,38,Husband,Married,Male,"Programmer, systems",None,None
11,Blue Spring,Stephen,Howarth,4,Son,NA,Male,Child,None,NA
11,Blue Spring,Joel,Howarth,4,Son,NA,Male,Child,None,NA
